loss,val_loss
0.6061,0.5096
0.5031,0.4458
0.4462,0.43
0.4222,0.3879
0.4042,0.3731
0.385,0.3641
0.3702,0.3502
0.3586,0.3417
0.3421,0.3138
0.3299,0.3158
0.3194,0.3174
0.3081,0.3044
0.3001,0.2878
0.2891,0.2988
0.2809,0.2737
0.2713,0.2841
0.2642,0.2755
0.2539,0.2722
0.2473,0.2573
0.2418,0.2572
0.2326,0.2672
0.2275,0.2535
0.2217,0.2454
0.2176,0.2537
0.211,0.2518
0.2069,0.2472
0.2018,0.2437
0.195,0.2461
0.193,0.2412
0.1877,0.2574
0.1875,0.2603
0.1805,0.2405
0.1755,0.2439
0.1719,0.2409
0.1674,0.2277
0.167,0.2296
0.1633,0.2331
0.1566,0.2405
0.1565,0.2285
0.155,0.2487
0.1507,0.2286
0.1503,0.2371
0.1451,0.2329
0.1444,0.2408
0.1404,0.2303
0.1379,0.2544
0.136,0.2171
0.1345,0.2196
0.1345,0.2211
0.1291,0.2282
0.1303,0.2339
0.1267,0.2493
0.127,0.2407
0.1263,0.2177
0.1208,0.25
0.1219,0.2316
0.1186,0.2292
0.1157,0.2321
0.1162,0.2452
0.1146,0.2227
0.1121,0.2191
0.1114,0.2421
0.1127,0.2243
0.11,0.2275
0.1086,0.2354
0.1076,0.233
0.1062,0.2197
0.1054,0.2137
0.1054,0.2219
0.1024,0.2474
0.101,0.2193
0.0994,0.2053
0.101,0.2189
0.0985,0.246
0.0968,0.2459
0.0951,0.2389
0.0967,0.2355
0.0937,0.2139
0.0929,0.2309
0.0924,0.2119
0.0932,0.2268
0.0921,0.2393
0.0911,0.2085
0.0912,0.2325
0.0897,0.2593
0.0868,0.2382
0.0869,0.2176
0.0846,0.2197
0.0843,0.2165
0.0884,0.2428
0.0869,0.2314
0.0833,0.2297
0.0849,0.2144
0.0841,0.2303
0.085,0.217
0.081,0.2242
0.0801,0.2157
0.0798,0.2166
0.0805,0.2092
0.0806,0.2128
0.0802,0.2092
0.079,0.23
