loss,val_loss
0.5968,0.5064
0.4915,0.4328
0.4384,0.4068
0.4158,0.3847
0.3951,0.3713
0.3786,0.3553
0.3613,0.363
0.3484,0.3447
0.3344,0.3268
0.3208,0.3039
0.3104,0.307
0.2993,0.2875
0.2894,0.285
0.2798,0.287
0.2726,0.3021
0.2653,0.2803
0.2576,0.2712
0.247,0.2604
0.2412,0.2618
0.2359,0.2726
0.2277,0.2596
0.2201,0.2551
0.2186,0.2427
0.2102,0.2409
0.2077,0.248
0.1999,0.2431
0.1992,0.2291
0.1919,0.2448
0.189,0.2478
0.183,0.2355
0.1793,0.2394
0.1766,0.2334
0.1752,0.2275
0.1684,0.2291
0.1655,0.2294
0.1635,0.2174
0.1591,0.22
0.1569,0.2305
0.1531,0.2214
0.1498,0.2293
0.1471,0.2242
0.1451,0.223
0.1445,0.2299
0.1373,0.2301
0.1395,0.2187
0.1363,0.226
0.1346,0.2112
0.1337,0.2262
0.1306,0.2201
0.1306,0.2199
0.1297,0.2678
0.1274,0.2265
0.1229,0.2131
0.1215,0.2191
0.1192,0.236
0.1162,0.2336
0.1177,0.2073
0.1114,0.2182
0.115,0.2146
0.1127,0.2337
0.1139,0.2097
0.1095,0.2149
0.1082,0.2155
0.1083,0.2056
0.1062,0.2215
0.1039,0.2178
0.1049,0.2032
0.1031,0.2185
0.1028,0.2095
0.1014,0.1949
0.1025,0.2124
0.0987,0.2186
0.0989,0.2175
0.0967,0.2187
0.0948,0.2087
0.0987,0.2184
0.095,0.2167
0.0941,0.2094
0.0935,0.223
0.0907,0.205
0.0904,0.2139
0.0914,0.217
0.0915,0.1956
0.0886,0.2116
0.0886,0.2307
0.0882,0.2134
0.0871,0.2045
0.0855,0.204
0.0864,0.2043
0.0867,0.2097
0.0843,0.2073
0.0863,0.2146
0.0836,0.2114
0.0836,0.2188
0.0823,0.2061
0.0817,0.218
0.0792,0.2182
0.0808,0.2024
0.0787,0.2018
0.0788,0.2123
