loss,val_loss
0.6021,0.5171
0.5038,0.4363
0.451,0.4043
0.4206,0.3954
0.4034,0.3782
0.3861,0.3676
0.37,0.3403
0.3579,0.3379
0.3452,0.32
0.3288,0.3082
0.3175,0.3191
0.307,0.294
0.2981,0.2996
0.2887,0.3079
0.2777,0.2775
0.2707,0.2828
0.2609,0.2789
0.2553,0.2657
0.2479,0.2649
0.2416,0.2564
0.2349,0.2635
0.2269,0.2567
0.2222,0.2416
0.2169,0.2466
0.2116,0.2507
0.2047,0.2448
0.1991,0.2355
0.1977,0.227
0.1917,0.2567
0.1869,0.2659
0.1829,0.2336
0.1802,0.242
0.1728,0.2299
0.1733,0.2617
0.1664,0.2437
0.1662,0.2326
0.1648,0.2403
0.1595,0.2287
0.1562,0.2287
0.1544,0.2276
0.1512,0.2496
0.1495,0.2454
0.1468,0.2495
0.1408,0.2284
0.1419,0.2638
0.1393,0.2342
0.1373,0.2135
0.1354,0.2209
0.134,0.2365
0.1328,0.2427
0.1283,0.2362
0.1269,0.2229
0.1271,0.2264
0.1224,0.2416
0.1216,0.2173
0.1209,0.2306
0.1192,0.2349
0.1175,0.2202
0.1182,0.2281
0.1147,0.2276
0.1137,0.2211
0.1123,0.2366
0.1097,0.2259
0.1076,0.2185
0.1094,0.2243
0.1088,0.237
0.1074,0.2199
0.106,0.2413
0.1044,0.2345
0.1035,0.2175
0.0998,0.2315
0.0997,0.2212
0.1034,0.2183
0.1008,0.2316
0.0982,0.2135
0.0975,0.2156
0.0927,0.2509
