loss,val_loss
0.6046,0.5108
0.5044,0.4322
0.4487,0.4026
0.4228,0.4056
0.4042,0.3847
0.3844,0.3551
0.3705,0.3507
0.355,0.3318
0.3399,0.3266
0.3304,0.3304
0.3196,0.3203
0.3043,0.2958
0.2968,0.2966
0.2879,0.2812
0.28,0.2824
0.2687,0.2753
0.2626,0.272
0.2528,0.2758
0.2484,0.2516
0.2403,0.2508
0.2316,0.273
0.2264,0.2668
0.2235,0.2596
0.2152,0.2484
0.2113,0.247
0.2043,0.2462
0.2004,0.2552
0.1958,0.2355
0.1904,0.244
0.1877,0.2504
0.1824,0.2329
0.1791,0.2407
0.1761,0.2479
0.1735,0.241
0.166,0.2774
0.1651,0.267
0.1625,0.2396
0.1564,0.237
0.1571,0.2391
0.1529,0.2369
0.151,0.2299
0.1471,0.2601
0.1481,0.2474
0.1424,0.2833
0.1423,0.2254
0.1364,0.2419
0.1366,0.2483
0.1334,0.2631
0.1327,0.2639
0.1283,0.2289
0.1287,0.2469
0.1273,0.2553
0.124,0.2537
0.1225,0.2452
0.1212,0.2431
0.1201,0.2523
0.1201,0.2373
0.118,0.2301
0.1169,0.2291
0.1133,0.2401
0.1143,0.2531
0.1118,0.2355
0.1101,0.2257
0.1099,0.2363
0.1056,0.2465
0.1033,0.2391
0.1059,0.2346
0.1052,0.2427
0.1044,0.2446
0.1033,0.2302
0.1017,0.2302
0.1025,0.241
0.0999,0.2225
0.0957,0.2217
0.0968,0.2237
0.0969,0.251
0.0942,0.2493
0.0949,0.2378
0.0939,0.2331
0.0947,0.2393
0.094,0.218
0.0931,0.2231
0.0907,0.2313
0.0904,0.2207
0.0907,0.2283
0.0885,0.2208
0.0871,0.2157
0.0871,0.236
0.0866,0.2172
0.0832,0.2318
0.0843,0.2453
0.0836,0.2377
0.0831,0.2101
0.0799,0.2179
0.0804,0.2059
0.0814,0.2527
0.0796,0.2166
0.0791,0.2437
0.0794,0.2133
0.0811,0.2308
0.0773,0.2163
0.0776,0.2276
0.0767,0.2135
0.0762,0.2223
0.0765,0.2142
0.0746,0.2129
0.0755,0.2272
0.0748,0.228
0.0755,0.2226
0.073,0.2237
0.0714,0.2141
0.0708,0.2225
0.0726,0.2256
0.0723,0.211
0.0702,0.2088
0.0706,0.2182
0.0737,0.2116
0.0729,0.2215
0.0684,0.2269
0.0691,0.2431
0.0688,0.2329
0.0673,0.2244
0.0692,0.2211
0.0682,0.2154
0.0673,0.2061
