loss,val_loss
0.6001,0.5044
0.4907,0.4326
0.4388,0.4057
0.4126,0.389
0.3941,0.369
0.3749,0.3565
0.3601,0.3404
0.3463,0.3281
0.3334,0.3379
0.322,0.3074
0.3083,0.3017
0.2995,0.3044
0.2887,0.2991
0.2787,0.2877
0.2702,0.2829
0.2611,0.2705
0.2546,0.2678
0.2471,0.272
0.2411,0.2622
0.2335,0.2608
0.2264,0.249
0.2228,0.262
0.2197,0.2501
0.2125,0.2431
0.2076,0.2522
0.2,0.2448
0.1959,0.3228
0.1907,0.2516
0.1879,0.2426
0.1806,0.2536
0.1782,0.2302
0.1745,0.2415
0.1719,0.2358
0.1688,0.2447
0.1656,0.2488
0.1629,0.2286
0.1592,0.2378
0.1551,0.2198
0.153,0.2309
0.1491,0.2243
0.148,0.2449
0.1453,0.2123
0.1414,0.2168
0.1412,0.2353
0.1406,0.2277
0.1368,0.2316
0.1369,0.2248
0.1331,0.2152
0.129,0.2108
0.1274,0.216
0.1267,0.2177
0.1245,0.2285
0.1213,0.2523
0.1213,0.215
0.1209,0.2206
0.1177,0.2258
0.1172,0.2133
0.1159,0.2279
0.113,0.2373
0.1142,0.2163
0.1103,0.2306
0.1101,0.205
0.1084,0.2229
0.1069,0.2196
0.106,0.2168
0.1058,0.241
0.1027,0.2181
0.1022,0.2239
0.1027,0.2195
0.1017,0.2101
0.0986,0.229
0.098,0.2444
0.0972,0.1986
0.0945,0.211
0.0968,0.2034
0.0955,0.2122
0.0936,0.1998
0.0932,0.2056
0.0936,0.2118
0.0934,0.2177
0.091,0.2059
0.0905,0.2005
0.0899,0.2049
0.089,0.2089
0.0898,0.2009
0.087,0.1961
0.0849,0.2037
0.0847,0.2065
0.0842,0.2028
0.0852,0.2087
0.0858,0.2041
0.0819,0.2123
0.083,0.2232
0.0817,0.2136
0.0823,0.2255
0.0823,0.2125
0.0826,0.2083
0.08,0.2028
0.0798,0.2059
0.0801,0.1929
0.0807,0.2087
0.0791,0.2207
0.0763,0.2048
0.0769,0.19
0.0744,0.1992
0.0753,0.1958
0.0742,0.2022
0.0739,0.2085
0.0709,0.201
0.0723,0.2051
0.0729,0.1961
0.0744,0.2002
0.074,0.2076
0.0714,0.202
0.0729,0.1997
0.0722,0.2152
0.0734,0.197
0.0709,0.1912
0.0709,0.1937
0.0695,0.1918
0.0691,0.1999
0.0712,0.2077
0.0681,0.2008
0.071,0.1882
0.0678,0.201
0.0683,0.2042
0.0666,0.1896
0.0669,0.1908
0.0676,0.1981
0.0657,0.1901
0.0664,0.1949
0.0667,0.1921
0.0633,0.1879
0.0653,0.1999
0.0653,0.189
0.0634,0.1939
0.0628,0.1995
0.0645,0.1983
0.0634,0.1892
0.0648,0.1887
0.0614,0.1922
0.0634,0.1904
0.0631,0.1956
0.062,0.2042
0.0603,0.186
0.0629,0.2018
0.0621,0.195
0.062,0.1981
0.0613,0.1831
0.0636,0.1917
0.059,0.1881
0.0581,0.1983
0.061,0.1923
0.0593,0.1855
0.0571,0.1933
0.0595,0.1941
0.0583,0.1826
0.0585,0.1842
0.0575,0.1862
0.0576,0.1935
0.0584,0.1959
0.0586,0.1807
0.0575,0.1835
0.0578,0.1967
0.0583,0.1854
0.0536,0.1881
0.0558,0.1842
0.056,0.1909
0.0545,0.1828
0.056,0.1858
0.0556,0.1828
0.0544,0.1812
0.0521,0.1951
0.0542,0.1857
0.0549,0.1901
0.0546,0.1941
0.0533,0.1811
0.0559,0.1788
0.0551,0.1817
0.0525,0.1837
0.0537,0.1845
0.0541,0.1791
0.0546,0.1835
0.0519,0.1834
0.0513,0.1864
0.0514,0.1827
0.0516,0.1758
0.0506,0.1792
0.0519,0.1962
0.0529,0.1779
0.0519,0.1821
0.0513,0.179
0.0519,0.1817
0.0512,0.1866
0.0509,0.1786
0.0511,0.183
0.0521,0.1774
0.0514,0.1779
0.0493,0.182
0.0484,0.1788
