loss,val_loss
0.5977,0.4963
0.4914,0.4496
0.4402,0.4305
0.4137,0.3859
0.3952,0.3677
0.3763,0.3486
0.3593,0.334
0.3451,0.3211
0.3323,0.3198
0.3185,0.3227
0.3096,0.2943
0.2982,0.2971
0.2857,0.2925
0.2766,0.2761
0.2702,0.2845
0.2607,0.2698
0.2547,0.2904
0.2484,0.2661
0.2412,0.2581
0.2337,0.2743
0.2294,0.261
0.2205,0.2508
0.2139,0.2614
0.2094,0.2446
0.2048,0.2427
0.2007,0.2452
0.194,0.2582
0.1894,0.2395
0.1868,0.2569
0.1816,0.258
0.1788,0.2451
0.176,0.2385
0.1733,0.2225
0.1671,0.234
0.1643,0.2279
0.161,0.2265
0.1582,0.2424
0.1554,0.2408
0.1499,0.2381
0.148,0.2428
0.1493,0.2467
0.1418,0.2481
0.1441,0.2413
0.1393,0.2232
0.1374,0.2259
0.1366,0.2347
0.1343,0.2114
0.1297,0.2112
0.1303,0.207
0.1272,0.2229
0.1255,0.2334
0.1236,0.2302
0.1218,0.2252
0.1227,0.217
0.1193,0.2198
0.1159,0.2192
0.1169,0.2349
0.1148,0.2331
0.1152,0.226
0.1122,0.2401
0.1098,0.2288
0.1079,0.2291
0.1072,0.2307
0.1052,0.2368
0.1061,0.2332
0.1047,0.2172
0.1046,0.2201
0.1037,0.2188
0.102,0.2044
0.0996,0.2344
0.0983,0.2192
0.0977,0.2205
0.0995,0.2139
0.0979,0.2088
0.0945,0.2097
0.0966,0.2144
0.0951,0.2141
0.094,0.2039
0.0923,0.2106
0.0937,0.21
0.0888,0.2278
0.0917,0.212
0.0903,0.215
0.0875,0.2092
0.0888,0.2221
0.087,0.2111
0.085,0.2044
0.086,0.2163
0.0848,0.1936
0.0837,0.2223
0.0846,0.2137
0.0811,0.2308
0.0802,0.2092
0.082,0.2116
0.0816,0.1995
0.083,0.2087
0.0804,0.1913
0.0787,0.2041
0.081,0.2361
0.0794,0.2194
0.0796,0.192
0.0802,0.2109
0.0764,0.2122
0.077,0.2029
0.0757,0.2096
0.0754,0.1918
0.073,0.1955
0.0744,0.1949
0.0754,0.1953
0.0737,0.2107
0.0727,0.225
0.0747,0.1922
0.0723,0.2148
0.0706,0.2009
0.0709,0.2082
0.0705,0.1891
0.0704,0.1936
0.0716,0.1967
0.0702,0.196
0.0718,0.2023
0.0681,0.1992
0.0684,0.2013
0.068,0.1983
0.0675,0.1988
0.0673,0.1988
0.0656,0.1903
0.0654,0.2107
0.0644,0.2021
0.0657,0.2044
0.0672,0.1978
0.0664,0.2166
0.0671,0.2003
0.0651,0.1957
0.0649,0.2079
0.0647,0.2076
0.0635,0.2031
0.064,0.2068
0.0627,0.1989
0.0624,0.1949
0.0623,0.1907
0.0631,0.2013
0.061,0.1977
0.0625,0.192
0.0599,0.1966
0.0617,0.1927
0.0623,0.188
0.0604,0.2116
0.0597,0.1994
0.0602,0.1791
0.059,0.1877
0.0596,0.1937
0.0602,0.2052
0.0592,0.1921
0.0602,0.192
0.0587,0.1904
0.0601,0.1931
0.0576,0.1856
0.0572,0.1847
0.0558,0.1864
0.0575,0.1937
0.0569,0.193
0.0571,0.1953
0.0571,0.1978
0.0582,0.1856
0.0544,0.1889
0.0557,0.1959
0.0553,0.1897
0.0556,0.2033
0.0576,0.1896
0.0533,0.2006
0.0571,0.1861
0.0552,0.1852
0.0565,0.198
0.0541,0.1877
0.0544,0.194
0.0558,0.1886
0.0541,0.1887
0.0538,0.1911
0.0526,0.1913
