loss,val_loss
0.6078,0.5022
0.5012,0.4374
0.4496,0.4135
0.4203,0.3872
0.4031,0.3694
0.3836,0.3618
0.3695,0.3414
0.3571,0.3448
0.3446,0.3259
0.3313,0.3192
0.3182,0.3088
0.3077,0.3045
0.2973,0.2968
0.2874,0.2881
0.2809,0.2737
0.2723,0.2769
0.2638,0.2692
0.2547,0.2692
0.2494,0.2856
0.24,0.2608
0.2356,0.2744
0.228,0.2465
0.2219,0.2568
0.2169,0.2466
0.2122,0.2661
0.2088,0.24
0.1995,0.2404
0.1964,0.2325
0.1919,0.2921
0.1874,0.2575
0.1822,0.2433
0.1793,0.243
0.1791,0.2718
0.1721,0.2584
0.1683,0.2569
0.167,0.2393
0.1634,0.2319
0.1571,0.2324
0.1564,0.2492
0.1535,0.2587
0.1503,0.2653
0.1501,0.2325
0.1431,0.2402
0.1453,0.2596
0.1418,0.2362
0.1384,0.2364
0.1376,0.2443
0.1332,0.23
0.1341,0.2223
0.1315,0.2761
0.1306,0.2511
0.1274,0.2754
0.1245,0.253
0.1229,0.2614
0.1253,0.2312
0.1195,0.2336
0.1166,0.2191
0.1177,0.2481
0.1176,0.2402
0.1149,0.2305
0.1136,0.2278
0.1137,0.267
0.1104,0.2409
0.1111,0.2394
0.1082,0.2507
0.1071,0.2377
0.1043,0.2288
0.1061,0.2309
0.1035,0.2501
0.1043,0.2486
0.1031,0.2264
0.1045,0.2194
0.0994,0.2438
0.0975,0.2223
0.0984,0.2789
0.0953,0.2477
0.0972,0.2371
0.0959,0.2494
0.091,0.2379
0.0938,0.2304
0.0936,0.2324
0.0907,0.2226
0.0902,0.2189
0.0902,0.2238
0.0918,0.2249
0.0862,0.2259
0.0877,0.2278
0.0867,0.2364
0.0871,0.2376
0.0866,0.2223
0.0869,0.2333
0.0835,0.2141
0.0843,0.245
0.0856,0.2286
0.084,0.2405
0.0802,0.2396
0.0807,0.2273
0.0851,0.2239
0.0822,0.2077
0.0791,0.2169
0.079,0.2202
0.0788,0.2246
0.0791,0.2219
0.0747,0.2283
0.0782,0.2186
0.0764,0.2203
0.0764,0.213
0.0759,0.2252
0.0753,0.2276
0.076,0.2167
0.0725,0.2315
0.0731,0.2184
0.0726,0.2215
0.0748,0.1969
0.0726,0.2312
0.071,0.2207
0.0707,0.2255
0.0727,0.218
0.0697,0.2142
0.0702,0.2362
0.0687,0.2272
0.0689,0.2198
0.0674,0.2218
0.0674,0.208
0.0686,0.2076
0.068,0.218
0.0693,0.2054
0.0671,0.2065
0.0665,0.2157
0.0671,0.2116
0.0674,0.2068
0.0652,0.2276
0.066,0.2137
0.0639,0.2209
0.065,0.2388
0.0649,0.2058
0.067,0.2167
0.0644,0.1971
0.0639,0.209
0.0634,0.2082
0.0648,0.2093
0.0624,0.2183
0.0627,0.2204
0.0639,0.2032
